Year,Population,Total,Violent,Property,Murder,Forcible Rape,Robbery,Aggravated Assault,Burglary,Larceny-Theft,Vehicle Theft
1960,"179,323,175","1,887.2",160.9,"1,726.3",5.1,9.6,60.1,86.1,508.6,"1,034.7",183.0
1961,"182,992,000","1,906.1",158.1,"1,747.9",4.8,9.4,58.3,85.7,518.9,"1,045.4",183.6
1962,"185,771,000","2,019.8",162.3,"1,857.5",4.6,9.4,59.7,88.6,535.2,"1,124.8",197.4
1963,"188,483,000","2,180.3",168.2,"2,012.1",4.6,9.4,61.8,92.4,576.4,"1,219.1",216.6
1964,"191,141,000","2,388.1",190.6,"2,197.5",4.9,11.2,68.2,106.2,634.7,"1,315.5",247.4
1965,"193,526,000","2,449.0",200.2,"2,248.8",5.1,12.1,71.7,111.3,662.7,"1,329.3",256.8
1966,"195,576,000","2,670.8",220.0,"2,450.9",5.6,13.2,80.8,120.3,721.0,"1,442.9",286.9
1967,"197,457,000","2,989.7",253.2,"2,736.5",6.2,14.0,102.8,130.2,826.6,"1,575.8",334.1
1968,"199,399,000","3,370.2",298.4,"3,071.8",6.9,15.9,131.8,143.8,932.3,"1,746.6",393.0
1969,"201,385,000","3,680.0",328.7,"3,351.3",7.3,18.5,148.4,154.5,984.1,"1,930.9",436.2
1970,"203,235,298","3,984.5",363.5,"3,621.0",7.9,18.7,172.1,164.8,"1,084.9","2,079.3",456.8
1971,"206,212,000","4,164.7",396.0,"3,768.8",8.6,20.5,188.0,178.8,"1,163.5","2,145.5",459.8
1972,"208,230,000","3,961.4",401.0,"3,560.4",9.0,22.5,180.7,188.8,"1,140.8","1,993.6",426.1
1973,"209,851,000","4,154.4",417.4,"3,737.0",9.4,24.5,183.1,200.5,"1,222.5","2,071.9",442.6
1974,"211,392,000","4,850.4",461.1,"4,389.3",9.8,26.2,209.3,215.8,"1,437.7","2,489.5",462.2
1975,"213,124,000","5,298.5",487.8,"4,810.7",9.6,26.3,220.8,231.1,"1,532.1","2,804.8",473.7
1976,"214,659,000","5,287.3",467.8,"4,819.5",8.7,26.6,199.3,233.2,"1,448.2","2,921.3",450.0
1977,"216,332,000","5,077.6",475.9,"4,601.7",8.8,29.4,190.7,247.0,"1,419.8","2,729.9",451.9
1978,"218,059,000","5,140.4",497.8,"4,642.5",9.0,31.0,195.8,262.1,"1,434.6","2,747.4",460.5
1979,"220,099,000","5,565.5",548.9,"5,016.6",9.8,34.7,218.4,286.0,"1,511.9","2,999.1",505.6
1980,"225,349,264","5,950.0",596.6,"5,353.3",10.2,36.8,251.1,298.5,"1,684.1","3,167.0",502.2
1981,"229,146,000","5,858.2",594.3,"5,263.8",9.8,36.0,258.7,289.7,"1,649.5","3,139.7",474.7
1982,"231,534,000","5,603.7",571.1,"5,032.5",9.1,34.0,238.9,289.1,"1,488.8","3,084.9",458.9
1983,"233,981,000","5,175.0",537.7,"4,637.3",8.3,33.7,216.5,279.2,"1,337.7","2,869.0",430.8
