Year,State/Area,Rate
1981,United States,7.6
1982,United States,9.7
1983,United States,9.6
1984,United States,7.5
1985,United States,7.2
1986,United States,7.0
1987,United States,6.2
1988,United States,5.5
1989,United States,5.3
1990,United States,5.6
1991,United States,6.8
1992,United States,7.5
1993,United States,6.9
1994,United States,6.1
1995,United States,5.6
1996,United States,5.4
1997,United States,4.9
1998,United States,4.5
1999,United States,4.2
2000,United States,4.0
2001,United States,4.7
2002,United States,5.8
2003,United States,6.0
2004,United States,5.5
2005,United States,5.1
2006,United States,4.6
2007,United States,4.6
2008,United States,5.8
2009,United States,9.3
2010,United States,9.6
2011,United States,8.9
2012,United States,8.1
2013,United States,7.4
2014,United States,6.2
2015,United States,5.3
2016,United States,4.9
2017,United States,4.4
2018,United States,3.9
1981,Alabama,10.6
1982,Alabama,14.1
1983,Alabama,13.8
1984,Alabama,11.0
1985,Alabama,9.2
1986,Alabama,9.7
1987,Alabama,8.1
1988,Alabama,7.2
1989,Alabama,7.0
1990,Alabama,6.8
1991,Alabama,7.3
1992,Alabama,7.6
1993,Alabama,7.3
1994,Alabama,6.2
1995,Alabama,6.0
1996,Alabama,5.2
1997,Alabama,5.0
1998,Alabama,4.4
1999,Alabama,4.7
2000,Alabama,4.6
2001,Alabama,5.1
2002,Alabama,5.9
2003,Alabama,6.0
2004,Alabama,5.7
2005,Alabama,4.5
2006,Alabama,4.0
2007,Alabama,4.0
2008,Alabama,5.7
2009,Alabama,11.0
2010,Alabama,10.5
2011,Alabama,9.6
2012,Alabama,8.0
2013,Alabama,7.2
2014,Alabama,6.8
2015,Alabama,6.1
2016,Alabama,5.8
2017,Alabama,4.4
2018,Alabama,3.9
1981,Alaska,9.4
1982,Alaska,9.9
1983,Alaska,9.9
1984,Alaska,9.8
1985,Alaska,9.7
1986,Alaska,10.9
1987,Alaska,10.3
1988,Alaska,8.8
1989,Alaska,7.0
1990,Alaska,7.2
1991,Alaska,8.5
1992,Alaska,8.9
1993,Alaska,7.7
1994,Alaska,7.6
1995,Alaska,7.3
1996,Alaska,7.6
1997,Alaska,7.1
1998,Alaska,6.3
1999,Alaska,6.5
2000,Alaska,6.4
2001,Alaska,6.4
2002,Alaska,7.3
2003,Alaska,7.8
2004,Alaska,7.5
2005,Alaska,6.9
2006,Alaska,6.6
2007,Alaska,6.3
2008,Alaska,6.7
2009,Alaska,7.7
2010,Alaska,7.9
2011,Alaska,7.6
2012,Alaska,7.1
2013,Alaska,7.0
2014,Alaska,6.9
2015,Alaska,6.5
2016,Alaska,6.9
2017,Alaska,7.0
2018,Alaska,6.6
1981,Arizona,6.2
1982,Arizona,10.1
1983,Arizona,8.8
1984,Arizona,5.2
1985,Arizona,6.3
1986,Arizona,6.9
1987,Arizona,6.5
1988,Arizona,6.4
1989,Arizona,5.3
1990,Arizona,5.3
1991,Arizona,5.9
1992,Arizona,7.5
1993,Arizona,6.4
1994,Arizona,6.1
1995,Arizona,5.3
1996,Arizona,5.6
1997,Arizona,4.6
1998,Arizona,4.3
1999,Arizona,4.4
2000,Arizona,4.0
2001,Arizona,4.8
2002,Arizona,6.1
2003,Arizona,5.7
2004,Arizona,5.0
2005,Arizona,4.7
2006,Arizona,4.2
2007,Arizona,3.9
2008,Arizona,6.2
2009,Arizona,9.9
2010,Arizona,10.4
2011,Arizona,9.5
2012,Arizona,8.3
2013,Arizona,7.7
2014,Arizona,6.8
2015,Arizona,6.1
2016,Arizona,5.4
2017,Arizona,4.9
2018,Arizona,4.8
1981,Arkansas,8.7
1982,Arkansas,9.9
1983,Arkansas,9.9
1984,Arkansas,8.7
1985,Arkansas,8.7
1986,Arkansas,8.6
1987,Arkansas,8.1
1988,Arkansas,7.6
1989,Arkansas,7.0
1990,Arkansas,6.9
1991,Arkansas,7.4
1992,Arkansas,7.1
1993,Arkansas,6.1
1994,Arkansas,5.4
1995,Arkansas,4.8
1996,Arkansas,5.3
1997,Arkansas,5.2
1998,Arkansas,5.2
1999,Arkansas,4.6
2000,Arkansas,4.3
2001,Arkansas,5.0
2002,Arkansas,5.5
2003,Arkansas,5.9
2004,Arkansas,5.7
2005,Arkansas,5.2
2006,Arkansas,5.2
2007,Arkansas,5.3
2008,Arkansas,5.5
2009,Arkansas,7.8
2010,Arkansas,8.2
2011,Arkansas,8.3
2012,Arkansas,7.6
2013,Arkansas,7.2
2014,Arkansas,6.0
2015,Arkansas,5.0
2016,Arkansas,4.0
2017,Arkansas,3.7
2018,Arkansas,3.7
1981,California,7.4
1982,California,10.0
1983,California,9.8
1984,California,7.8
1985,California,7.2
1986,California,6.7
1987,California,5.8
1988,California,5.3
1989,California,5.1
1990,California,5.8
1991,California,7.7
1992,California,9.3
1993,California,9.5
1994,California,8.6
1995,California,7.9
1996,California,7.3
1997,California,6.4
1998,California,5.9
1999,California,5.2
2000,California,4.9
2001,California,5.4
2002,California,6.7
2003,California,6.8
2004,California,6.2
2005,California,5.4
2006,California,4.9
2007,California,5.4
2008,California,7.3
2009,California,11.2
2010,California,12.2
2011,California,11.7
2012,California,10.4
2013,California,8.9
2014,California,7.5
2015,California,6.2
2016,California,5.5
2017,California,4.8
2018,California,4.2
1981,Colorado,5.7
1982,Colorado,7.3
1983,Colorado,7.1
1984,Colorado,5.4
1985,Colorado,6.1
1986,Colorado,7.5
1987,Colorado,7.5
1988,Colorado,6.5
1989,Colorado,5.7
1990,Colorado,5.2
1991,Colorado,5.3
1992,Colorado,6.0
1993,Colorado,5.3
1994,Colorado,4.2
1995,Colorado,4.0
1996,Colorado,4.2
1997,Colorado,3.5
1998,Colorado,3.6
1999,Colorado,3.1
2000,Colorado,2.8
2001,Colorado,3.8
2002,Colorado,5.5
2003,Colorado,6.0
2004,Colorado,5.5
2005,Colorado,5.0
2006,Colorado,4.3
2007,Colorado,3.7
2008,Colorado,4.8
2009,Colorado,7.3
2010,Colorado,8.7
2011,Colorado,8.4
2012,Colorado,7.9
2013,Colorado,6.9
2014,Colorado,5.0
2015,Colorado,3.9
2016,Colorado,3.2
2017,Colorado,2.7
2018,Colorado,3.3
1981,Connecticut,6.2
1982,Connecticut,6.9
1983,Connecticut,6.0
1984,Connecticut,4.7
1985,Connecticut,4.7
1986,Connecticut,3.8
1987,Connecticut,3.4
1988,Connecticut,3.0
1989,Connecticut,3.8
1990,Connecticut,5.1
1991,Connecticut,6.5
1992,Connecticut,7.6
1993,Connecticut,6.6
1994,Connecticut,5.6
1995,Connecticut,5.5
1996,Connecticut,5.5
1997,Connecticut,5.0
1998,Connecticut,3.4
1999,Connecticut,2.9
2000,Connecticut,2.4
2001,Connecticut,3.1
2002,Connecticut,4.3
2003,Connecticut,5.4
2004,Connecticut,5.0
2005,Connecticut,4.9
2006,Connecticut,4.3
2007,Connecticut,4.5
2008,Connecticut,5.7
2009,Connecticut,7.9
2010,Connecticut,9.1
2011,Connecticut,8.8
2012,Connecticut,8.3
2013,Connecticut,7.8
2014,Connecticut,6.6
2015,Connecticut,5.7
2016,Connecticut,5.1
2017,Connecticut,4.7
2018,Connecticut,4.1
1981,Delaware,7.8
1982,Delaware,8.4
1983,Delaware,7.7
1984,Delaware,6.3
1985,Delaware,5.1
1986,Delaware,4.3
1987,Delaware,3.1
